year,Value,Units,variable_code
2023,Level 1,99999,H01
2023,Level 1,99999,H04
2023,Level 1,99999,H05
2023,Level 1,99999,H07
2023,Level 1,99999,H08
2023,Level 1,99999,H09
2023,Level 1,99999,H10
2023,Level 1,99999,H11
2023,Level 1,99999,H12
2023,Level 1,99999,H13
2023,Level 1,99999,H14
2023,Level 1,99999,H19
2023,Level 1,99999,H20
2023,Level 1,99999,H21
2023,Level 1,99999,H22
2023,Level 1,99999,H23
2023,Level 1,99999,H24
2023,Level 1,99999,H25
2023,Level 1,99999,H26
2023,Level 1,99999,H29
2023,Level 1,99999,H30
2023,Level 1,99999,H31
2023,Level 1,99999,H32
2023,Level 1,99999,H33
2023,Level 1,99999,H34
2023,Level 1,99999,H35
2023,Level 1,99999,H36
2023,Level 1,99999,H37
2023,Level 1,99999,H39
2023,Level 1,99999,H40
2023,Level 1,99999,H41
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars
2023,Level 1,AA,Dollars
2023,Level 1,AA,Percentage
2023,Level 1,AA,Percentage
2023,Level 1,AA,Percentage
2023,Level 1,AA,Percentage
2023,Level 1,AA,Percentage
2023,Level 3,AA11,H01
2023,Level 3,AA11,H04
2023,Level 3,AA11,H05
2023,Level 3,AA11,H07
2023,Level 3,AA11,H08
2023,Level 3,AA11,H09
2023,Level 3,AA11,H10
2023,Level 3,AA11,H11
2023,Level 3,AA11,H12
2023,Level 3,AA11,H13
2023,Level 3,AA11,H19
2023,Level 3,AA11,H20
2023,Level 3,AA11,H21
2023,Level 3,AA11,H22
2023,Level 3,AA11,H23
2023,Level 3,AA11,H24
2023,Level 3,AA11,H25
2023,Level 3,AA11,H26
2023,Level 3,AA11,H29
2023,Level 3,AA11,H30
2023,Level 3,AA11,H31
2023,Level 3,AA11,H32
2023,Level 3,AA11,H33
2023,Level 3,AA11,H34
2023,Level 3,AA11,H35
2023,Level 3,AA11,H36
2023,Level 3,AA11,H37
2023,Level 3,AA11,H39
2023,Level 3,AA11,H40
2023,Level 3,AA11,H41
2023,Level 4,AA111,H01
2023,Level 4,AA111,H04
2023,Level 4,AA111,H05
2023,Level 4,AA111,H07
2023,Level 4,AA111,H08
2023,Level 4,AA111,H09
2023,Level 4,AA111,H10
2023,Level 4,AA111,H11
2023,Level 4,AA111,H12
2023,Level 4,AA111,H13
2023,Level 4,AA111,H19
2023,Level 4,AA111,H20
2023,Level 4,AA111,H21
2023,Level 4,AA111,H22
2023,Level 4,AA111,H23
2023,Level 4,AA111,H24
2023,Level 4,AA111,H25
2023,Level 4,AA111,H26
2023,Level 4,AA111,H29
2023,Level 4,AA111,H30
2023,Level 4,AA111,H31
